Formula,M,X,T,Work_function,Heat_of_formation,Energy_above_convex_hull,Length(x),Radius_of_orbital_of_metal,Radius_of_orbital_of_support,Radius_of_orbital_of_termination,Ionisation_potential_of_metal,Ionisation_potential_of_support,Ionisation_potential_of_termination,Electronegativity_of_metal,Electronegativity_of_support,Electronegativity_of_termination,Electron_affinity_of_metal,Electron_affinity_of_support,Electron_affinity_of_termination
Hf3C2H2O2,Hf,C,OH,2.271377974,-1.345951694,0.242879982,330.4,82.9,59.6,41.4,6.825,11.2603,13.017,1.3,2.55,2.82,0.178,1.262,1.827
Sc3C2H2O2,Sc,C,OH,1.588008659,-1.199954296,0.452743884,335,53.9,59.6,41.4,6.5614,11.2603,13.017,1.36,2.55,2.82,0.189,1.262,1.827
W3C2H2O2,W,C,OH,2.209839639,-0.317344146,0.473692689,290.6,74.6,59.6,41.4,7.98,11.2603,13.017,2.36,2.55,2.82,0.816,1.262,1.827
Mo3H2N2O2,Mo,N,OH,2.463148154,-0.594738539,0.327053005,285,70.2,48.8,41.4,7.0942,14.5341,13.017,2.16,3.04,2.82,0.749,-0.07,1.827
Ti3H2N2O2,Ti,N,OH,2.329749567,-1.597694312,0.163032588,298.9,48.9,48.8,41.4,6.8282,14.5341,13.017,1.54,3.04,2.82,0.087,-0.07,1.827
Zr3H2N2O2,Zr,N,OH,2.429485571,-1.645322115,0.315790352,320.4,79,48.8,41.4,6.6339,14.5341,13.017,1.33,3.04,2.82,0.427,-0.07,1.827
Mn3C2F2,Mn,C,F,6.244289053,-0.755419649,0.290092153,293.1,38.9,59.6,36,7.434,11.2603,17.4228,1.55,2.55,3.98,-0.5,1.262,3.401
Ta3C2F2,Ta,C,F,4.424606403,-1.265524269,0.269073077,316.7,78.4,59.6,36,7.89,11.2603,17.4228,1.5,2.55,3.98,0.323,1.262,3.401
Y3C2F2,Y,C,F,4.46843778,-1.715968012,0.168984853,348.9,86.5,59.6,36,6.217,11.2603,17.4228,1.22,2.55,3.98,0.308,1.262,3.401
Mn3C2O2,Mn,C,O,6.714303958,-0.407668344,0.386595308,288.2,38.9,59.6,41.4,7.434,11.2603,13.618,1.55,2.55,3.44,-0.5,1.262,1.439
Ta3C2O2,Ta,C,O,5.011133502,-1.397317972,0.1173341,313.1,78.4,59.6,41.4,7.89,11.2603,13.618,1.5,2.55,3.44,0.323,1.262,1.439
Y3C2O2,Y,C,O,2.724903409,-1.569476414,0.364325407,378.3,86.5,59.6,41.4,6.217,11.2603,13.618,1.22,2.55,3.44,0.308,1.262,1.439
Mo3F2N2,Mo,N,F,5.539162781,-0.901248583,0.27769285,283.1,70.2,48.8,36,7.0942,14.5341,17.4228,2.16,3.04,3.98,0.749,-0.07,3.401
Ti3F2N2,Ti,N,F,4.470408025,-2.228438487,0.088134143,298.3,48.9,48.8,36,6.8282,14.5341,17.4228,1.54,3.04,3.98,0.087,-0.07,3.401
Zr3F2N2,Zr,N,F,3.854569041,-2.283108467,0.13372424,318.5,79,48.8,36,6.6339,14.5341,17.4228,1.33,3.04,3.98,0.427,-0.07,3.401
Nb3N2O2,Nb,N,O,5.433290198,-1.616996772,0.209659096,306.4,74.7,48.8,41.4,6.7588,14.5341,13.618,1.6,3.04,3.44,0.894,-0.07,1.439
V3N2O2,V,N,O,5.986508388,-1.509284502,0.141477507,288,44.9,48.8,41.4,6.746,14.5341,13.618,1.63,3.04,3.44,0.526,-0.07,1.439
Cr4C3H2O2,Cr,C,OH,1.563619794,-0.413045594,0.262213001,301.3,42.7,59.6,41.4,6.766,11.2603,13.017,1.66,2.55,2.82,0.6758,1.262,1.827
Nb4C3H2O2,Nb,C,OH,1.964216946,-0.916306235,0.154598348,316,74.7,59.6,41.4,6.7588,11.2603,13.017,1.6,2.55,2.82,0.894,1.262,1.827
V4C3H2O2,V,C,OH,1.808413781,-0.799695603,0.147011709,296.1,44.9,59.6,41.4,6.746,11.2603,13.017,1.63,2.55,2.82,0.526,1.262,1.827
Cr4H2N3O2,Cr,N,OH,1.960124213,-0.772735978,0.106556231,302.6,42.7,48.8,41.4,6.766,14.5341,13.017,1.66,3.04,2.82,0.6758,-0.07,1.827
Nb4H2N3O2,Nb,N,OH,2.340015836,-1.122681166,0.261396652,320.4,74.7,48.8,41.4,6.7588,14.5341,13.017,1.6,3.04,2.82,0.894,-0.07,1.827
V4H2N3O2,V,N,OH,1.879607244,-1.103983363,0.180354428,299.8,44.9,48.8,41.4,6.746,14.5341,13.017,1.63,3.04,2.82,0.526,-0.07,1.827
Hf3C2,Hf,C,Hf,4.328128024,-0.367620157,0.3618767,329.8,82.9,59.6,82.9,6.825,11.2603,6.825,1.3,2.55,1.3,0.178,1.262,0.178
Sc3C2,Sc,C,Sc,3.626033808,-0.284050376,0.205291853,337.2,53.9,59.6,53.9,6.5614,11.2603,6.5614,1.36,2.55,1.36,0.189,1.262,0.189
W3C2,W,C,W,4.970470299,0.588552569,0.751129437,289.3,74.6,59.6,74.6,7.98,11.2603,7.98,2.36,2.55,2.36,0.816,1.262,0.816
Hf3N2,Hf,N,Hf,4.463562762,-0.877809199,0.475430254,315,82.9,48.8,82.9,6.825,14.5341,6.825,1.3,3.04,1.3,0.178,-0.07,0.178
Sc3N2,Sc,N,Sc,4.034214553,-1.242464607,0.31264751,321.8,53.9,48.8,53.9,6.5614,14.5341,6.5614,1.36,3.04,1.36,0.189,-0.07,0.189
W3N2,W,N,W,5.483972841,0.5447464,0.682012185,280.8,74.6,48.8,74.6,7.98,14.5341,7.98,2.36,3.04,2.36,0.816,-0.07,0.816
Mn4C3F2,Mn,C,F,6.184184368,-0.521470042,0.302393969,292.3,38.9,59.6,36,7.434,11.2603,17.4228,1.55,2.55,3.98,-0.5,1.262,3.401
Ta4C3F2,Ta,C,F,4.315178502,-1.18920605,0.138409437,315.3,78.4,59.6,36,7.89,11.2603,17.4228,1.5,2.55,3.98,0.323,1.262,3.401
Y4C3F2,Y,C,F,4.28710898,-1.363126768,0.181794822,355.8,86.5,59.6,36,6.217,11.2603,17.4228,1.22,2.55,3.98,0.308,1.262,3.401
Mo4F2N3,Mo,N,F,4.627970425,-0.814360681,0.210250514,322.3,70.2,48.8,36,7.0942,14.5341,17.4228,2.16,3.04,3.98,0.749,-0.07,3.401
Ti4F2N3,Ti,N,F,4.523332783,-2.180332865,0,301.6,48.9,48.8,36,6.8282,14.5341,17.4228,1.54,3.04,3.98,0.087,-0.07,3.401
Zr4F2N3,Zr,N,F,3.576461963,-2.225973875,0.048456205,325,79,48.8,36,6.6339,14.5341,17.4228,1.33,3.04,3.98,0.427,-0.07,3.401
Mo4C3O2,Mo,C,O,6.058052797,-0.448211993,0.323354667,305.2,70.2,59.6,41.4,7.0942,11.2603,13.618,2.16,2.55,3.44,0.749,1.262,1.439
Ti4C3O2,Ti,C,O,6.01365045,-1.50161531,0.066121993,304.3,48.9,59.6,41.4,6.8282,11.2603,13.618,1.54,2.55,3.44,0.087,1.262,1.439
Zr4C3O2,Zr,C,O,5.213692565,-1.64829792,0.107203973,330.6,79,59.6,41.4,6.6339,11.2603,13.618,1.33,2.55,3.44,0.427,1.262,1.439
Mo4N3O2,Mo,N,O,5.816440504,-0.697208253,0.294868262,319,70.2,48.8,41.4,7.0942,14.5341,13.618,2.16,3.04,3.44,0.749,-0.07,1.439
Ti4N3O2,Ti,N,O,5.66407381,-2.127643174,0,300.3,48.9,48.8,41.4,6.8282,14.5341,13.618,1.54,3.04,3.44,0.087,-0.07,1.439
Zr4N3O2,Zr,N,O,4.602333652,-2.267204327,0.088579449,324.8,79,48.8,41.4,6.6339,14.5341,13.618,1.33,3.04,3.44,0.427,-0.07,1.439
Mo4C3,Mo,C,Mo,4.800734589,0.354085777,0.521937394,307.7,70.2,59.6,70.2,7.0942,11.2603,7.0942,2.16,2.55,2.16,0.749,1.262,0.749
Ti4C3,Ti,C,Ti,3.988366624,-0.517776367,0.244752571,309.7,48.9,59.6,48.9,6.8282,11.2603,6.8282,1.54,2.55,1.54,0.087,1.262,0.087
Zr4C3,Zr,C,Zr,3.917392518,-0.553695766,0.196816861,334.1,79,59.6,79,6.6339,11.2603,6.6339,1.33,2.55,1.33,0.427,1.262,0.427
Mo4N3,Mo,N,Mo,5.59959685,-0.117566868,0.297680585,298.7,70.2,48.8,70.2,7.0942,14.5341,7.0942,2.16,3.04,2.16,0.749,-0.07,0.749
Ti4N3,Ti,N,Ti,4.651035323,-1.256317588,0.145214781,298.6,48.9,48.8,48.9,6.8282,14.5341,6.8282,1.54,3.04,1.54,0.087,-0.07,0.087
Zr4N3,Zr,N,Zr,4.34618742,-1.276421745,0.286819364,322.7,79,48.8,79,6.6339,14.5341,6.6339,1.33,3.04,1.33,0.427,-0.07,0.427
Mo2C,Mo,C,Mo,4.782409055,0.786323189,0.973056188,300.9,70.2,59.6,70.2,7.0942,11.2603,7.0942,2.16,2.55,2.16,0.749,1.262,0.749
Ta2C,Ta,C,Ta,4.77120532,0.31552792,0.961113835,308.6,78.4,59.6,78.4,7.89,11.2603,7.89,1.5,2.55,1.5,0.323,1.262,0.323
Mn2N,Mn,N,Mn,5.203527312,0.591096799,0.816384734,262.1,38.9,48.8,38.9,7.434,14.5341,7.434,1.55,3.04,1.55,-0.5,-0.07,-0.5
W2N,W,N,W,5.337295524,0.870033183,0.984421337,277.7,74.6,48.8,74.6,7.98,14.5341,7.98,2.36,3.04,2.36,0.816,-0.07,0.816
Mn2CF2,Mn,C,F,6.293181457,-1.211706661,0.232771164,296.4,38.9,59.6,36,7.434,11.2603,17.4228,1.55,2.55,3.98,-0.5,1.262,3.401
Ta2CF2,Ta,C,F,3.887295424,-1.669997739,0.237166954,320,78.4,59.6,36,7.89,11.2603,17.4228,1.5,2.55,3.98,0.323,1.262,3.401
Y2CF2,Y,C,F,3.689597479,-2.497009159,0,355.9,86.5,59.6,36,6.217,11.2603,17.4228,1.22,2.55,3.98,0.308,1.262,3.401
V2CO2,V,C,O,6.645078972,-1.436963878,0.185070279,290.7,44.9,59.6,41.4,6.746,11.2603,13.618,1.63,2.55,3.44,0.526,1.262,1.439
Cr2F2N,Cr,N,F,5.300603221,-1.503966995,0.144563059,301.6,42.7,48.8,36,6.766,14.5341,17.4228,1.66,3.04,3.98,0.6758,-0.07,3.401
Nb2F2N,Nb,N,F,5.030830694,-1.811325392,0.329717599,289.4,74.7,48.8,36,6.7588,14.5341,17.4228,1.6,3.04,3.98,0.894,-0.07,3.401
W2F2N,W,N,F,5.131545825,-0.927262758,0.447190597,277,74.6,48.8,36,7.98,14.5341,17.4228,2.36,3.04,3.98,0.816,-0.07,3.401
Mn2NO2,Mn,N,O,6.523022301,-1.004600619,0.11986881,287.9,38.9,48.8,41.4,7.434,14.5341,13.618,1.55,3.04,3.44,-0.5,-0.07,1.439
Nb2NO2,Nb,N,O,5.631049445,-1.916125921,0.153539308,312.3,74.7,48.8,41.4,6.7588,14.5341,13.618,1.6,3.04,3.44,0.894,-0.07,1.439
Ta2NO2,Ta,N,O,5.307607378,-1.876341566,0.240624586,313.7,78.4,48.8,41.4,7.89,14.5341,13.618,1.5,3.04,3.44,0.323,-0.07,1.439
Zr2NO2,Zr,N,O,4.730528299,-2.615726845,0.20386724,325.2,79,48.8,41.4,6.6339,14.5341,13.618,1.33,3.04,3.44,0.427,-0.07,1.439
Mn2CH2O2,Mn,C,OH,1.605877655,-0.679253723,0.192975818,301.5,38.9,59.6,41.4,7.434,11.2603,13.017,1.55,2.55,2.82,-0.5,1.262,1.827
Ta2CH2O2,Ta,C,OH,2.562581276,-1.052686743,0.290355319,320.1,78.4,59.6,41.4,7.89,11.2603,13.017,1.5,2.55,2.82,0.323,1.262,1.827
Y2CH2O2,Y,C,OH,1.423007374,-1.502911873,0.494482885,358.3,86.5,59.6,41.4,6.217,11.2603,13.017,1.22,2.55,2.82,0.308,1.262,1.827
Mn2H2NO2,Mn,N,OH,1.548754523,-0.778281928,0.165237161,307.1,38.9,48.8,41.4,7.434,14.5341,13.017,1.55,3.04,2.82,-0.5,-0.07,1.827
Ta2H2NO2,Ta,N,OH,2.497220519,-1.027565899,0.484552781,293.1,78.4,48.8,41.4,7.89,14.5341,13.017,1.5,3.04,2.82,0.323,-0.07,1.827
Y2H2NO2,Y,N,OH,2.036421682,-1.838113135,0.322115271,348.4,86.5,48.8,41.4,6.217,14.5341,13.017,1.22,3.04,2.82,0.308,-0.07,1.827
Mn3C2H2O2,Mn,C,OH,1.696293082,-0.438861518,0.250227402,296.4,38.9,59.6,41.4,7.434,11.2603,13.017,1.55,2.55,2.82,-0.5,1.262,1.827
Ta3C2H2O2,Ta,C,OH,2.393978169,-0.873985127,0.305349568,313.1,78.4,59.6,41.4,7.89,11.2603,13.017,1.5,2.55,2.82,0.323,1.262,1.827
Y3C2H2O2,Y,C,OH,1.842956209,-1.119985663,0.553419197,355.1,86.5,59.6,41.4,6.217,11.2603,13.017,1.22,2.55,2.82,0.308,1.262,1.827
Nb3H2N2O2,Nb,N,OH,2.115742695,-1.145816695,0.274915647,294.9,74.7,48.8,41.4,6.7588,14.5341,13.017,1.6,3.04,2.82,0.894,-0.07,1.827
V3H2N2O2,V,N,OH,2.32431541,-1.079086762,0.235674563,282.2,44.9,48.8,41.4,6.746,14.5341,13.017,1.63,3.04,2.82,0.526,-0.07,1.827
Mo3C2F2,Mo,C,F,6.023370389,-0.737201626,0.264770304,289.2,70.2,59.6,36,7.0942,11.2603,17.4228,2.16,2.55,3.98,0.749,1.262,3.401
Ti3C2F2,Ti,C,F,4.537062608,-1.860417794,0.002975813,307,48.9,59.6,36,6.8282,11.2603,17.4228,1.54,2.55,3.98,0.087,1.262,3.401
Zr3C2F2,Zr,C,F,3.214799793,-1.964052754,0,332.1,79,59.6,36,6.6339,11.2603,17.4228,1.33,2.55,3.98,0.427,1.262,3.401
Mo3C2O2,Mo,C,O,6.375504982,-0.656378274,0.291724408,296.5,70.2,59.6,41.4,7.0942,11.2603,13.618,2.16,2.55,3.44,0.749,1.262,1.439
Ti3C2O2,Ti,C,O,6.14203621,-1.608598373,0.175274036,303.8,48.9,59.6,41.4,6.8282,11.2603,13.618,1.54,2.55,3.44,0.087,1.262,1.439
Zr3C2O2,Zr,C,O,5.432554827,-1.796041003,0.210861984,329.6,79,59.6,41.4,6.6339,11.2603,13.618,1.33,2.55,3.44,0.427,1.262,1.439
Nb3F2N2,Nb,N,F,5.236543012,-1.625730519,0.251909465,291.8,74.7,48.8,36,6.7588,14.5341,17.4228,1.6,3.04,3.98,0.894,-0.07,3.401
V3F2N2,V,N,F,5.417162109,-1.546310437,0.254912671,278.4,44.9,48.8,36,6.746,14.5341,17.4228,1.63,3.04,3.98,0.526,-0.07,3.401
Cr3N2O2,Cr,N,O,6.817073092,-0.829810508,0.317160354,275.2,42.7,48.8,41.4,6.766,14.5341,13.618,1.66,3.04,3.44,0.6758,-0.07,1.439
Sc3N2O2,Sc,N,O,6.398742919,-2.281217672,0.366276919,325.2,53.9,48.8,41.4,6.5614,14.5341,13.618,1.36,3.04,3.44,0.189,-0.07,1.439
W3N2O2,W,N,O,7.117395296,-0.716222082,0.246157508,281.7,74.6,48.8,41.4,7.98,14.5341,13.618,2.36,3.04,3.44,0.816,-0.07,1.439
Hf4C3H2O2,Hf,C,OH,2.341269868,-1.263441104,0.202306825,331.1,82.9,59.6,41.4,6.825,11.2603,13.017,1.3,2.55,2.82,0.178,1.262,1.827
Sc4C3H2O2,Sc,C,OH,1.686086439,-1.036525119,0.406312153,328.2,53.9,59.6,41.4,6.5614,11.2603,13.017,1.36,2.55,2.82,0.189,1.262,1.827
W4C3H2O2,W,C,OH,1.962004355,-0.24548654,0.438674703,316.3,74.6,59.6,41.4,7.98,11.2603,13.017,2.36,2.55,2.82,0.816,1.262,1.827
Hf4H2N3O2,Hf,N,OH,2.711951359,-1.609141583,0.272699897,323.5,82.9,48.8,41.4,6.825,14.5341,13.017,1.3,3.04,2.82,0.178,-0.07,1.827
Sc4H2N3O2,Sc,N,OH,2.042803707,-1.947394024,0.135459219,320.7,53.9,48.8,41.4,6.5614,14.5341,13.017,1.36,3.04,2.82,0.189,-0.07,1.827
W4H2N3O2,W,N,OH,2.065608799,-0.288075632,0.424045437,327.9,74.6,48.8,41.4,7.98,14.5341,13.017,2.36,3.04,2.82,0.816,-0.07,1.827
Mn3C2,Mn,C,Mn,4.551475838,0.44375184,0.49998961,293.1,38.9,59.6,38.9,7.434,11.2603,7.434,1.55,2.55,1.55,-0.5,1.262,-0.5
Ta3C2,Ta,C,Ta,4.690470077,0.007367478,0.635990619,314.8,78.4,59.6,78.4,7.89,11.2603,7.89,1.5,2.55,1.5,0.323,1.262,0.323
Y3C2,Y,C,Y,3.520095171,-0.140203065,0.198954647,361.5,86.5,59.6,86.5,6.217,11.2603,6.217,1.22,2.55,1.22,0.308,1.262,0.308
Mn3N2,Mn,N,Mn,4.630992305,0.183639837,0.38639898,308.8,38.9,48.8,38.9,7.434,14.5341,7.434,1.55,3.04,1.55,-0.5,-0.07,-0.5
Ta3N2,Ta,N,Ta,5.290320619,-0.308609979,0.764876976,293.2,78.4,48.8,78.4,7.89,14.5341,7.89,1.5,3.04,1.5,0.323,-0.07,0.323
Y3N2,Y,N,Y,4.134395041,-1.093169715,0.294136582,348.2,86.5,48.8,86.5,6.217,14.5341,6.217,1.22,3.04,1.22,0.308,-0.07,0.308
Mo4C3F2,Mo,C,F,5.969642723,-0.613551279,0.199913684,314.3,70.2,59.6,36,7.0942,11.2603,17.4228,2.16,2.55,3.98,0.749,1.262,3.401
Ti4C3F2,Ti,C,F,4.572972107,-1.635185788,0,307.9,48.9,59.6,36,6.8282,11.2603,17.4228,1.54,2.55,3.98,0.087,1.262,3.401
Zr4C3F2,Zr,C,F,3.516069293,-1.71728553,0.004888404,333.3,79,59.6,36,6.6339,11.2603,17.4228,1.33,2.55,3.98,0.427,1.262,3.401
Nb4F2N3,Nb,N,F,4.235459161,-1.506302394,0.225002587,319.9,74.7,48.8,36,6.7588,14.5341,17.4228,1.6,3.04,3.98,0.894,-0.07,3.401
V4F2N3,V,N,F,5.355879366,-1.493826455,0.162109715,299.4,44.9,48.8,36,6.746,14.5341,17.4228,1.63,3.04,3.98,0.526,-0.07,3.401
Cr4C3O2,Cr,C,O,6.570992021,-0.414451418,0.351097066,290.1,42.7,59.6,41.4,6.766,11.2603,13.618,1.66,2.55,3.44,0.6758,1.262,1.439
Nb4C3O2,Nb,C,O,5.594921286,-1.211952172,0.077252271,314.4,74.7,59.6,41.4,6.7588,11.2603,13.618,1.6,2.55,3.44,0.894,1.262,1.439
V4C3O2,V,C,O,6.581941225,-0.967520279,0.146186409,292.4,44.9,59.6,41.4,6.746,11.2603,13.618,1.63,2.55,3.44,0.526,1.262,1.439
Cr4N3O2,Cr,N,O,6.34702856,-0.855985122,0.136522482,294.7,42.7,48.8,41.4,6.766,14.5341,13.618,1.66,3.04,3.44,0.6758,-0.07,1.439
Nb4N3O2,Nb,N,O,5.358477578,-1.5326914,0.158959267,314.2,74.7,48.8,41.4,6.7588,14.5341,13.618,1.6,3.04,3.44,0.894,-0.07,1.439
V4N3O2,V,N,O,6.194619891,-1.376900839,0.162010031,292.4,44.9,48.8,41.4,6.746,14.5341,13.618,1.63,3.04,3.44,0.526,-0.07,1.439
Cr4C3,Cr,C,Cr,4.444378266,0.373496671,0.450647255,294.4,42.7,59.6,42.7,6.766,11.2603,6.766,1.66,2.55,1.66,0.6758,1.262,0.6758
Nb4C3,Nb,C,Nb,4.41065153,-0.26922953,0.365867031,312.9,74.7,59.6,74.7,6.7588,11.2603,6.7588,1.6,2.55,1.6,0.894,1.262,0.894
V4C3,V,C,V,4.523354721,-0.131807621,0.374984237,292.4,44.9,59.6,44.9,6.746,11.2603,6.746,1.63,2.55,1.63,0.526,1.262,0.526
Cr4N3,Cr,N,Cr,4.072196491,-0.121958653,0.290493886,303.3,42.7,48.8,42.7,6.766,14.5341,6.766,1.66,3.04,1.66,0.6758,-0.07,0.6758
Nb4N3,Nb,N,Nb,4.796419169,-0.569596404,0.556592773,314.9,74.7,48.8,74.7,6.7588,14.5341,6.7588,1.6,3.04,1.6,0.894,-0.07,0.894
V4N3,V,N,V,4.767996235,-0.593356273,0.470175025,293.3,44.9,48.8,44.9,6.746,14.5341,6.746,1.63,3.04,1.63,0.526,-0.07,0.526
Cr2C,Cr,C,Cr,4.716535002,0.789143783,0.876023649,283.4,42.7,59.6,42.7,6.766,11.2603,6.766,1.66,2.55,1.66,0.6758,1.262,0.6758
Nb2C,Nb,C,Nb,4.535834564,0.284040518,0.837083803,311.6,74.7,59.6,74.7,6.7588,11.2603,6.7588,1.6,2.55,1.6,0.894,1.262,0.894
V2C,V,C,V,4.635133763,0.337235199,0.791538334,290.3,44.9,59.6,44.9,6.746,11.2603,6.746,1.63,2.55,1.63,0.526,1.262,0.526
Mo2N,Mo,N,Mo,5.004303233,0.66310091,0.986071151,280.9,70.2,48.8,70.2,7.0942,14.5341,7.0942,2.16,3.04,2.16,0.749,-0.07,0.749
Ta2N,Ta,N,Ta,4.770044727,0.164725324,1.138550709,309,78.4,48.8,78.4,7.89,14.5341,7.89,1.5,3.04,1.5,0.323,-0.07,0.323
Y2N,Y,N,Y,3.961487736,-0.697539788,0.458548793,343.8,86.5,48.8,86.5,6.217,14.5341,6.217,1.22,3.04,1.22,0.308,-0.07,0.308
Cr2CO2,Cr,C,O,6.417723431,-0.881746892,0.441495809,290.8,42.7,59.6,41.4,6.766,11.2603,13.618,1.66,2.55,3.44,0.6758,1.262,1.439
Mo2CF2,Mo,C,F,5.867241689,-1.016778224,0.324506247,287.2,70.2,59.6,36,7.0942,11.2603,17.4228,2.16,2.55,3.98,0.749,1.262,3.401
Ti2CF2,Ti,C,F,4.803881267,-2.27416768,0,304.8,48.9,59.6,36,6.8282,11.2603,17.4228,1.54,2.55,3.98,0.087,1.262,3.401
Zr2CF2,Zr,C,F,3.905669365,-2.362683664,0,328.7,79,59.6,36,6.6339,11.2603,17.4228,1.33,2.55,3.98,0.427,1.262,3.401
Sc2CO2,Sc,C,O,6.377828005,-1.812340172,0.731641783,322.9,53.9,59.6,41.4,6.5614,11.2603,13.618,1.36,2.55,3.44,0.189,1.262,1.439
W2CO2,W,C,O,5.937513434,-0.935930369,0.355423706,311,74.6,59.6,41.4,7.98,11.2603,13.618,2.36,2.55,3.44,0.816,1.262,1.439
Hf2F2N,Hf,N,F,3.31444709,-2.381737077,0.218314789,320.8,82.9,48.8,36,6.825,14.5341,17.4228,1.3,3.04,3.98,0.178,-0.07,3.401
Sc2F2N,Sc,N,F,3.768005716,-2.984131642,0.016245819,318.3,53.9,48.8,36,6.5614,14.5341,17.4228,1.36,3.04,3.98,0.189,-0.07,3.401
Y2F2N,Y,N,F,3.064709989,-2.919192408,0.0000865,344.6,86.5,48.8,36,6.217,14.5341,17.4228,1.22,3.04,3.98,0.308,-0.07,3.401
Mo2NO2,Mo,N,O,6.830337149,-1.058915736,0.3392577,285.9,70.2,48.8,41.4,7.0942,14.5341,13.618,2.16,3.04,3.44,0.749,-0.07,1.439
Ti2NO2,Ti,N,O,5.733969426,-2.427262572,0.081596551,300.1,48.9,48.8,41.4,6.8282,14.5341,13.618,1.54,3.04,3.44,0.087,-0.07,1.439
Mo2CH2O2,Mo,C,OH,2.126567246,-0.576427893,0.38807834,295.5,70.2,59.6,41.4,7.0942,11.2603,13.017,2.16,2.55,2.82,0.749,1.262,1.827
Ti2CH2O2,Ti,C,OH,1.912019945,-1.429972453,0.161596464,307.2,48.9,59.6,41.4,6.8282,11.2603,13.017,1.54,2.55,2.82,0.087,1.262,1.827
Zr2CH2O2,Zr,C,OH,2.0307807,-1.485474419,0.316168479,331.1,79,59.6,41.4,6.6339,11.2603,13.017,1.33,2.55,2.82,0.427,1.262,1.827
Mo2H2NO2,Mo,N,OH,2.311684118,-0.696275088,0.350469652,282.7,70.2,48.8,41.4,7.0942,14.5341,13.017,2.16,3.04,2.82,0.749,-0.07,1.827
Ti2H2NO2,Ti,N,OH,2.172653965,-1.644564329,0.147477901,306,48.9,48.8,41.4,6.8282,14.5341,13.017,1.54,3.04,2.82,0.087,-0.07,1.827
